iter	Passed	Remaining
404	3948	5800
405	3950	5780
406	3959	5769
407	3962	5749
408	3993	5769
409	3995	5750
410	3998	5730
411	4004	5715
412	4008	5697
413	4012	5679
414	4015	5659
415	4026	5653
416	4030	5635
417	4043	5630
418	4056	5624
419	4058	5605
420	4061	5585
421	4065	5568
422	4070	5552
423	4074	5535
424	4090	5534
425	4093	5515
426	4100	5502
427	4105	5486
428	4107	5467
429	4110	5449
430	4120	5440
431	4123	5422
432	4134	5413
433	4187	5460
434	4190	5442
435	4199	5432
436	4203	5416
437	4207	5398
438	4219	5391
439	4221	5373
440	4248	5385
441	4253	5369
442	4256	5351
443	4267	5344
444	4271	5326
445	4281	5317
446	4284	5300
447	4288	5283
448	4314	5294
449	4334	5297
450	4344	5288
451	4347	5270
452	4350	5252
453	4352	5234
454	4364	5227
455	4369	5212
456	4379	5203
457	4382	5186
458	4385	5168
459	4389	5153
460	4395	5139
461	4399	5123
462	4412	5117
463	4415	5100
464	4427	5093
465	4430	5076
466	4432	5059
467	4441	5048
468	4444	5031
469	4446	5014
470	4449	4997
471	4454	4982
472	4460	4970
473	4464	4953
474	4476	4947
475	4485	4938
476	4488	4921
477	4491	4905
478	4494	4888
479	4502	4878
480	4506	4862
481	4509	4846
482	4522	4841
483	4525	4825
484	4537	4818
485	4541	4802
486	4544	4786
487	4551	4775
488	4554	4758
489	4556	4742
490	4571	4738
491	4574	4723
492	4603	4734
493	4606	4718
494	4619	4712
495	4622	4696
496	4624	4680
497	4630	4667
498	4633	4652
499	4636	4636
500	4644	4626
501	4647	4610
502	4656	4601
503	4662	4588
504	4666	4573
505	4675	4564
506	4678	4549
507	4681	4533
508	4716	4549
509	4725	4540
510	4728	4524
511	4744	4521
512	4746	4506
513	4757	4498
514	4760	4483
515	4763	4468
516	4772	4458
517	4775	4443
518	4778	4428
519	4781	4413
520	4784	4398
521	4803	4398
522	4806	4383
523	4808	4368
524	4815	4357
525	4818	4342
526	4821	4327
527	4830	4318
528	4833	4303
529	4835	4288
530	4838	4273
531	4849	4266
532	4852	4251
533	4868	4248
534	4874	4236
535	4879	4223
536	4882	4209
537	4885	4194
538	4888	4181
539	4898	4173
540	4917	4172
541	4930	4166
542	4933	4152
543	4944	4144
544	4947	4130
545	4950	4116
546	4957	4105
547	4960	4091
548	4963	4077
549	4975	4070
550	4977	4056
551	4980	4042
552	5010	4049
553	5013	4035
554	5020	4025
555	5024	4012
556	5026	3998
557	5029	3984
558	5037	3974
559	5042	3961
560	5044	3947
561	5052	3937
562	5058	3926
563	5068	3918
564	5089	3918
565	5091	3904
566	5101	3895
567	5104	3882
568	5107	3868
569	5117	3860
570	5140	3862
571	5145	3850
572	5149	3837
573	5154	3825
574	5169	3821
575	5172	3807
576	5184	3800
577	5187	3787
578	5193	3776
579	5203	3768
580	5215	3761
581	5218	3747
582	5221	3734
583	5237	3730
584	5242	3718
585	5247	3707
586	5250	3693
587	5263	3688
588	5266	3675
589	5280	3669
590	5294	3664
591	5297	3651
592	5300	3638
593	5308	3628
594	5312	3615
595	5315	3602
596	5342	3606
597	5346	3593
598	5348	3580
599	5358	3572
600	5361	3559
601	5364	3546
602	5371	3536
603	5375	3524
604	5391	3519
605	5394	3507
606	5404	3498
607	5407	3486
608	5412	3474
609	5424	3468
610	5427	3455
611	5435	3446
612	5443	3436
613	5454	3428
614	5456	3416
615	5459	3403
616	5473	3397
617	5483	3389
618	5504	3388
619	5538	3394
620	5541	3381
621	5552	3374
622	5554	3361
623	5557	3348
624	5572	3343
625	5588	3338
626	5656	3364
627	5668	3357
628	5672	3345
629	5683	3337
630	5685	3325
631	5688	3312
632	5701	3305
633	5717	3300
634	5818	3344
635	5821	3331
636	5847	3332
637	5850	3319
638	5854	3307
639	5865	3299
640	5869	3287
641	5933	3308
642	5946	3301
643	5976	3303
644	5979	3291
645	5984	3279
646	5987	3266
647	5990	3253
648	5993	3241
649	6029	3246
650	6032	3233
651	6036	3221
652	6045	3212
653	6059	3205
654	6061	3192
655	6072	3184
656	6076	3172
657	6111	3176
658	6126	3170
659	6142	3164
660	6174	3166
661	6194	3162
662	6206	3154
663	6208	3141
664	6211	3129
665	6241	3130
666	6244	3117
667	6271	3116
668	6274	3104
669	6288	3097
670	6291	3084
671	6299	3074
672	6303	3062
673	6390	3091
674	6397	3080
675	6411	3072
676	6428	3067
677	6431	3054
678	6447	3048
679	6460	3040
680	6463	3027
681	6480	3021
682	6510	3021
683	6532	3017
684	6539	3007
685	6544	2995
686	6555	2986
687	6560	2975
688	6569	2965
689	6661	2993
690	6680	2987
691	6687	2976
692	6700	2968
693	6713	2960
694	6731	2953
695	6734	2941
696	6793	2953
697	6796	2940
698	6805	2930
699	6857	2939
700	6863	2927
701	6892	2925
702	6895	2913
703	6903	2902
704	6909	2891
705	6924	2883
706	6927	2870
707	6974	2876
708	6984	2866
709	6990	2855
710	7002	2846
711	7005	2833
712	7106	2860
713	7123	2853
714	7140	2846
715	7151	2836
716	7172	2831
717	7188	2823
718	7199	2813
719	7206	2802
720	7273	2814
721	7285	2805
722	7289	2792
723	7300	2783
724	7304	2770
725	7320	2762
726	7336	2755
727	7384	2758
728	7399	2750
729	7403	2738
730	7430	2734
731	7446	2726
732	7451	2714
733	7499	2717
734	7501	2704
735	7515	2695
736	7517	2682
737	7531	2673
738	7535	2661
739	7542	2649
740	7544	2637
741	7547	2624
742	7588	2624
743	7591	2612
744	7594	2599
745	7605	2589
746	7610	2577
747	7615	2565
748	7621	2553
749	7624	2541
750	7636	2532
751	7639	2519
752	7651	2509
753	7654	2497
754	7659	2485
755	7662	2473
756	7665	2460
757	7679	2451
758	7682	2439
759	7699	2431
760	7728	2427
761	7731	2414
762	7742	2404
763	7746	2392
764	7757	2383
765	7760	2370
766	7773	2361
767	7775	2348
768	7778	2336
769	7906	2361
770	7919	2352
771	7922	2339
772	7928	2328
773	7935	2317
774	8020	2328
775	8023	2316
776	8032	2305
777	8041	2294
778	8044	2282
779	8052	2271
780	8056	2259
781	8068	2249
782	8079	2239
783	8114	2235
784	8128	2226
785	8131	2214
786	8145	2204
787	8163	2196
788	8167	2184
789	8266	2197
790	8269	2184
791	8303	2180
792	8336	2176
793	8342	2164
794	8348	2152
795	8352	2140
796	8360	2129
797	8453	2139
798	8462	2128
799	8465	2116
800	8468	2103
801	8481	2094
802	8485	2081
803	8490	2069
804	8506	2060
805	8509	2048
806	8594	2055
807	8602	2044
808	8606	2031
809	8609	2019
810	8611	2006
811	8620	1995
812	8623	1983
813	8626	1971
814	8637	1960
815	8684	1958
816	8687	1946
817	8690	1933
818	8693	1921
819	8700	1909
820	8703	1897
821	8706	1885
822	8710	1873
823	8751	1869
824	8755	1857
825	8757	1844
826	8769	1834
827	8772	1822
828	8783	1811
829	8786	1799
830	8789	1787
831	8801	1777
832	8803	1764
833	8836	1758
834	8901	1758
835	8905	1747
836	8916	1736
837	8937	1727
838	8946	1716
839	8949	1704
840	8952	1692
841	8963	1682
842	9002	1676
843	9011	1665
844	9015	1653
845	9018	1641
846	9034	1631
847	9065	1625
848	9080	1615
849	9084	1603
850	9212	1612
851	9225	1602
852	9229	1590
853	9247	1580
854	9260	1570
855	9272	1559
856	9274	1547
857	9279	1535
858	9305	1527
859	9331	1519
860	9341	1508
861	9345	1496
862	9360	1485
863	9363	1473
864	9375	1463
865	9378	1451
866	9392	1440
867	9425	1433
868	9429	1421
869	9439	1410
870	9442	1398
871	9448	1386
872	9451	1375
873	9461	1364
874	9466	1352
875	9483	1342
876	9785	1372
877	9797	1361
878	9801	1349
879	9832	1340
880	9867	1332
881	9880	1321
882	9884	1309
883	9900	1299
884	9993	1298
885	10022	1289
886	10026	1277
887	10040	1266
888	10043	1254
889	10050	1242
890	10056	1230
891	10059	1217
892	10072	1206
893	10177	1206
894	10188	1195
895	10192	1183
896	10200	1171
897	10203	1158
898	10205	1146
899	10217	1135
900	10220	1123
901	10249	1113
902	10254	1101
903	10260	1089
904	10263	1077
905	10266	1065
906	10269	1052
907	10279	1041
908	10282	1029
909	10287	1017
910	10308	1007
911	10311	994
912	10314	982
913	10317	970
914	10320	958
915	10322	946
916	10325	934
917	10328	922
918	10330	910
919	10334	898
920	10355	888
921	10424	881
922	10434	870
923	10436	858
924	10439	846
925	10451	835
926	10454	823
927	10458	811
928	10487	801
929	10503	790
930	10601	785
931	10604	773
932	10620	762
933	10629	751
934	10635	739
935	10639	727
936	10654	716
937	10664	704
938	10703	695
939	10718	684
940	10720	672
941	10732	660
942	10736	648
943	10753	637
944	10766	626
945	10781	615
946	10785	603
947	10867	596
948	10870	584
949	10902	573
950	10916	562
951	10931	551
952	10934	539
953	10937	527
954	10989	517
955	11136	512
956	11305	507
957	11315	496
958	11319	483
959	11333	472
960	11337	460
961	11369	449
962	11396	437
963	11520	430
964	11535	418
965	11552	406
966	11568	394
967	11633	384
968	11667	373
969	11700	361
970	11716	349
971	11933	343
972	11984	332
973	12035	321
974	12052	309
975	12056	296
976	12069	284
977	12206	274
978	12216	262
979	12242	249
980	12245	237
981	12248	224
982	12252	211
983	12255	199
984	12258	186
985	12263	174
986	12409	163
987	12445	151
988	12452	138
989	12458	125
990	12463	113
991	12466	100
992	12468	87
993	12471	75
994	12638	63
995	12656	50
996	12667	38
997	12680	25
998	12683	12
999	12686	0
